--------------------------------------------------------------------------------------------------------------
Example ids:  1628 project:  FFmpeg commit id:  89f464e9c229006e16f6bb5403c5529fdd0a9edd Number of lines:  166 Ground Truth:  1628
Original lines: 
Incorrectly  predicted by :  ['linevul', 'codebert', 'PLBART', 'devign', 'vulberta_cnn', 'vulberta_mlp']
298                     dst += stride;                                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 114, 'regvd': 122, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
300                 }                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 181, 'regvd': 149, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
302             } else {                                                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 179, 'regvd': 134, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
304                 for (i = 0; i < s->height; i++) {                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 2, 'regvd': 77, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
306                     for (j = soff; j < ssize; j++)                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 16, 'regvd': 80, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
308                         dst[j] += dst[j - soff];                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 50, 'regvd': 109, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
310                     dst += stride;                                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 113, 'regvd': 121, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
312                 }                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 173, 'regvd': 148, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
314             }                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 171, 'regvd': 147, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
316         }                                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 169, 'regvd': 146, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
320         if (s->photometric == TIFF_PHOTOMETRIC_WHITE_IS_ZERO) {                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 51, 'regvd': 33, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
322             dst = p->data[plane];                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 13, 'regvd': 82, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
324             for (i = 0; i < s->height; i++) {                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 1, 'regvd': 76, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
326                 for (j = 0; j < stride; j++)                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 11, 'regvd': 105, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
328                     dst[j] = (s->avctx->pix_fmt == AV_PIX_FMT_PAL8 ? (1<<s->bpp) - 1 : 255) - dst[j];                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 21, 'regvd': 15, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
330                 dst += stride;                                                                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 112, 'regvd': 120, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
332             }                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 159, 'regvd': 145, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
334         }                                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 157, 'regvd': 144, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
336     }                                                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 155, 'regvd': 143, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
340     if (s->planar && s->bppcount > 2) {                                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 32, 'regvd': 108, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
342         FFSWAP(uint8_t*, p->data[0],     p->data[2]);                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 7, 'regvd': 26, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
344         FFSWAP(int,      p->linesize[0], p->linesize[2]);                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 17, 'regvd': 53, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
346         FFSWAP(uint8_t*, p->data[0],     p->data[1]);                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 8, 'regvd': 28, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
348         FFSWAP(int,      p->linesize[0], p->linesize[1]);                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 19, 'regvd': 56, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
350     }                                                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 146, 'regvd': 142, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
354     *got_frame = 1;                                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 98, 'regvd': 107, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
358     return avpkt->size;                                                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 74, 'regvd': 75, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
360 }                                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 138, 'regvd': 141, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
-----------------------
Highlighted Lines by at least 3 models: 
0 static int decode_frame(AVCodecContext *avctx,
2                         void *data, int *got_frame, AVPacket *avpkt)
6     TiffContext *const s = avctx->priv_data;
10     ThreadFrame frame = { .f = data };
28     bytestream2_init(&s->gb, avpkt->data, avpkt->size);
34     if ((ret = ff_tdecode_header(&s->gb, &le, &off))) {
36         av_log(avctx, AV_LOG_ERROR, "Invalid TIFF header\n");
40     } else if (off >= UINT_MAX - 14 || avpkt->size < off + 14) {
42         av_log(avctx, AV_LOG_ERROR, "IFD offset is greater than image size\n");
--------------------------------------------------------------------------------------------------------------
1
