--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
38         }                                                                                               {'codebert': 19, 'devign': -1, 'regvd': 62, 'vulberta_cnn': 40, 'vulberta_mlp': 1}
42         chunkstart = index;                                                                             {'codebert': 9, 'devign': 23, 'regvd': 37, 'vulberta_cnn': 46, 'vulberta_mlp': 19}
44         /* Consume valid dirty HPTEs */                                                                 {'codebert': 15, 'devign': -1, 'regvd': 32, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
46         while ((index < htabslots)                                                                      {'codebert': 14, 'devign': -1, 'regvd': 34, 'vulberta_cnn': 41, 'vulberta_mlp': 6}
48                && HPTE_DIRTY(HPTE(spapr->htab, index))                                                  {'codebert': -1, 'devign': -1, 'regvd': 6, 'vulberta_cnn': 3, 'vulberta_mlp': 20}
50                && HPTE_VALID(HPTE(spapr->htab, index))) {                                               {'codebert': -1, 'devign': -1, 'regvd': 4, 'vulberta_cnn': 32, 'vulberta_mlp': 22}
52             CLEAN_HPTE(HPTE(spapr->htab, index));                                                       {'codebert': -1, 'devign': 17, 'regvd': 3, 'vulberta_cnn': 37, 'vulberta_mlp': 47}
54             index++;                                                                                    {'codebert': -1, 'devign': 1, 'regvd': 45, 'vulberta_cnn': 21, 'vulberta_mlp': 57}
56             examined++;                                                                                 {'codebert': -1, 'devign': 4, 'regvd': 48, 'vulberta_cnn': 13, 'vulberta_mlp': 51}
58         }                                                                                               {'codebert': -1, 'devign': -1, 'regvd': 61, 'vulberta_cnn': 25, 'vulberta_mlp': 18}
62         invalidstart = index;                                                                           {'codebert': -1, 'devign': 26, 'regvd': 38, 'vulberta_cnn': 10, 'vulberta_mlp': 56}
64         /* Consume invalid dirty HPTEs */                                                               {'codebert': -1, 'devign': -1, 'regvd': 25, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
66         while ((index < htabslots)                                                                      {'codebert': -1, 'devign': -1, 'regvd': 33, 'vulberta_cnn': 54, 'vulberta_mlp': 5}
68                && HPTE_DIRTY(HPTE(spapr->htab, index))                                                  {'codebert': -1, 'devign': -1, 'regvd': 5, 'vulberta_cnn': 11, 'vulberta_mlp': 30}
70                && !HPTE_VALID(HPTE(spapr->htab, index))) {                                              {'codebert': -1, 'devign': -1, 'regvd': 0, 'vulberta_cnn': 57, 'vulberta_mlp': 32}
72             CLEAN_HPTE(HPTE(spapr->htab, index));                                                       {'codebert': -1, 'devign': 16, 'regvd': 2, 'vulberta_cnn': 49, 'vulberta_mlp': 44}
74             index++;                                                                                    {'codebert': -1, 'devign': 0, 'regvd': 44, 'vulberta_cnn': 22, 'vulberta_mlp': 33}
76             examined++;                                                                                 {'codebert': -1, 'devign': 3, 'regvd': 47, 'vulberta_cnn': 19, 'vulberta_mlp': 50}
78         }                                                                                               {'codebert': -1, 'devign': -1, 'regvd': 60, 'vulberta_cnn': 27, 'vulberta_mlp': 17}
82         if (index > chunkstart) {                                                                       {'codebert': -1, 'devign': 15, 'regvd': 26, 'vulberta_cnn': 55, 'vulberta_mlp': 45}
84             int n_valid = invalidstart - chunkstart;                                                    {'codebert': -1, 'devign': 29, 'regvd': 17, 'vulberta_cnn': 1, 'vulberta_mlp': 36}
86             int n_invalid = index - invalidstart;                                                       {'codebert': -1, 'devign': 14, 'regvd': 16, 'vulberta_cnn': 12, 'vulberta_mlp': 52}
90             qemu_put_be32(f, chunkstart);                                                               {'codebert': -1, 'devign': 32, 'regvd': 18, 'vulberta_cnn': 9, 'vulberta_mlp': 21}
92             qemu_put_be16(f, n_valid);                                                                  {'codebert': -1, 'devign': 35, 'regvd': 30, 'vulberta_cnn': 4, 'vulberta_mlp': 7}
94             qemu_put_be16(f, n_invalid);                                                                {'codebert': -1, 'devign': 33, 'regvd': 24, 'vulberta_cnn': 2, 'vulberta_mlp': 11}
96             qemu_put_buffer(f, HPTE(spapr->htab, chunkstart),                                           {'codebert': -1, 'devign': -1, 'regvd': 7, 'vulberta_cnn': 17, 'vulberta_mlp': 27}
98                             HASH_PTE_SIZE_64 * n_valid);                                                {'codebert': -1, 'devign': -1, 'regvd': 36, 'vulberta_cnn': 53, 'vulberta_mlp': 35}
100             sent += index - chunkstart;                                                                {'codebert': -1, 'devign': 9, 'regvd': 28, 'vulberta_cnn': 51, 'vulberta_mlp': 48}
104             if (!final && (qemu_clock_get_ns(QEMU_CLOCK_REALTIME) - starttime) > max_ns) {             {'codebert': -1, 'devign': 27, 'regvd': 11, 'vulberta_cnn': 47, 'vulberta_mlp': 29}
106                 break;                                                                                 {'codebert': -1, 'devign': 31, 'regvd': 51, 'vulberta_cnn': 20, 'vulberta_mlp': 16}
108             }                                                                                          {'codebert': -1, 'devign': -1, 'regvd': 59, 'vulberta_cnn': 42, 'vulberta_mlp': 15}
110         }                                                                                              {'codebert': -1, 'devign': -1, 'regvd': 58, 'vulberta_cnn': 36, 'vulberta_mlp': 55}
114         if (examined >= htabslots) {                                                                   {'codebert': -1, 'devign': 22, 'regvd': 27, 'vulberta_cnn': 26, 'vulberta_mlp': 28}
116             break;                                                                                     {'codebert': -1, 'devign': 30, 'regvd': 50, 'vulberta_cnn': 39, 'vulberta_mlp': 54}
118         }                                                                                              {'codebert': -1, 'devign': -1, 'regvd': 57, 'vulberta_cnn': 28, 'vulberta_mlp': 14}
122         if (index >= htabslots) {                                                                      {'codebert': -1, 'devign': 8, 'regvd': 23, 'vulberta_cnn': 43, 'vulberta_mlp': 8}
124             assert(index == htabslots);                                                                {'codebert': -1, 'devign': 19, 'regvd': 20, 'vulberta_cnn': 7, 'vulberta_mlp': 26}
126             index = 0;                                                                                 {'codebert': -1, 'devign': 12, 'regvd': 43, 'vulberta_cnn': 50, 'vulberta_mlp': 39}
128         }                                                                                              {'codebert': -1, 'devign': -1, 'regvd': 56, 'vulberta_cnn': 29, 'vulberta_mlp': 53}
130     } while ((examined < htabslots) && (!qemu_file_rate_limit(f) || final));                           {'codebert': -1, 'devign': 20, 'regvd': 12, 'vulberta_cnn': 59, 'vulberta_mlp': 23}
134     if (index >= htabslots) {                                                                          {'codebert': -1, 'devign': 7, 'regvd': 22, 'vulberta_cnn': 0, 'vulberta_mlp': 0}
136         assert(index == htabslots);                                                                    {'codebert': -1, 'devign': 18, 'regvd': 19, 'vulberta_cnn': 15, 'vulberta_mlp': 2}
138         index = 0;                                                                                     {'codebert': -1, 'devign': 11, 'regvd': 42, 'vulberta_cnn': 44, 'vulberta_mlp': 38}
140     }                                                                                                  {'codebert': -1, 'devign': -1, 'regvd': 55, 'vulberta_cnn': 38, 'vulberta_mlp': 4}
144     spapr->htab_save_index = index;                                                                    {'codebert': -1, 'devign': 24, 'regvd': 14, 'vulberta_cnn': 23, 'vulberta_mlp': 31}
148     return (examined >= htabslots) && (sent == 0) ? 1 : 0;                                             {'codebert': -1, 'devign': 10, 'regvd': 21, 'vulberta_cnn': 5, 'vulberta_mlp': 3}
150 }                                                                                                      {'codebert': -1, 'devign': -1, 'regvd': 54, 'vulberta_cnn': 58, 'vulberta_mlp': 13}
-----------------------
Highlighted lines: 
8     int htabslots = HTAB_SIZE(spapr) / HASH_PTE_SIZE_64;
134     if (index >= htabslots) {
--------------------------------------------------------------------------------------------------------------
Example ids:  11877 project:  FFmpeg commit id:  03acb035d1292685cc24a2be0f62dd8332711734 Number of lines:  71 tground truth:  1
Original lines: 
Predicted Correctly by :  ['linevul', 'codebert', 'PLBART', 'devign', 'vulberta_mlp']
0 static int decode_format80(VqaContext *s, int src_size,                                                                                      {'linevul': 10, 'codebert': 9, 'PLBART': 0, 'devign': 19, 'vulberta_mlp': 36}
2     unsigned char *dest, int dest_size, int check_size) {                                                                                    {'linevul': 9, 'codebert': 13, 'PLBART': 5, 'devign': 12, 'vulberta_mlp': 49}
6     int dest_index = 0;                                                                                                                      {'linevul': 19, 'codebert': 16, 'PLBART': 9, 'devign': 11, 'vulberta_mlp': 65}
8     int count, opcode, start;                                                                                                                {'linevul': 18, 'codebert': 15, 'PLBART': 6, 'devign': 40, 'vulberta_mlp': 64}
10     int src_pos;                                                                                                                            {'linevul': 20, 'codebert': 19, 'PLBART': 7, 'devign': 41, 'vulberta_mlp': 63}
12     unsigned char color;                                                                                                                    {'linevul': 22, 'codebert': 17, 'PLBART': 11, 'devign': 48, 'vulberta_mlp': 27}
14     int i;                                                                                                                                  {'linevul': 23, 'codebert': 18, 'PLBART': 10, 'devign': 49, 'vulberta_mlp': 62}
18     start = bytestream2_tell(&s->gb);                                                                                                       {'linevul': 15, 'codebert': 11, 'PLBART': 3, 'devign': 47, 'vulberta_mlp': 39}
20     while (bytestream2_tell(&s->gb) - start < src_size) {                                                                                   {'linevul': 5, 'codebert': 10, 'PLBART': 1, 'devign': 18, 'vulberta_mlp': 12}
22         opcode = bytestream2_get_byte(&s->gb);                                                                                              {'linevul': 6, 'codebert': 12, 'PLBART': 4, 'devign': 31, 'vulberta_mlp': 20}
24         av_dlog(s->avctx, "opcode %02X: ", opcode);                                                                                         {'linevul': 4, 'codebert': 6, 'PLBART': 2, 'devign': -1, 'vulberta_mlp': 16}
28         /* 0x80 means that frame is finished */                                                                                             {'linevul': 12, 'codebert': 5, 'PLBART': 8, 'devign': -1, 'vulberta_mlp': -1}
30         if (opcode == 0x80)                                                                                                                 {'linevul': 16, 'codebert': 1, 'PLBART': -1, 'devign': 39, 'vulberta_mlp': 37}
32             break;                                                                                                                          {'linevul': 17, 'codebert': 0, 'PLBART': -1, 'devign': 51, 'vulberta_mlp': 61}
36         if (dest_index >= dest_size) {                                                                                                      {'linevul': 11, 'codebert': 2, 'PLBART': -1, 'devign': 28, 'vulberta_mlp': 25}
38             av_log(s->avctx, AV_LOG_ERROR, "decode_format80 problem: dest_index (%d) exceeded dest_size (%d)\n",                            {'linevul': 0, 'codebert': 4, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 24}
40                 dest_index, dest_size);                                                                                                     {'linevul': 7, 'codebert': 14, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 11}
42             return AVERROR_INVALIDDATA;                                                                                                     {'linevul': 8, 'codebert': 7, 'PLBART': -1, 'devign': 50, 'vulberta_mlp': 60}
44         }                                                                                                                                   {'linevul': 21, 'codebert': 3, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 5}
48         if (opcode == 0xFF) {                                                                                                               {'linevul': 14, 'codebert': 8, 'PLBART': -1, 'devign': 30, 'vulberta_mlp': 26}
52             count   = bytestream2_get_le16(&s->gb);                                                                                         {'linevul': 3, 'codebert': -1, 'PLBART': -1, 'devign': 26, 'vulberta_mlp': 10}
54             src_pos = bytestream2_get_le16(&s->gb);                                                                                         {'linevul': 2, 'codebert': -1, 'PLBART': -1, 'devign': 23, 'vulberta_mlp': 21}
56             av_dlog(s->avctx, "(1) copy %X bytes from absolute pos %X\n", count, src_pos);                                                  {'linevul': 1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 2}
58             CHECK_COUNT();                                                                                                                  {'linevul': 13, 'codebert': -1, 'PLBART': -1, 'devign': 17, 'vulberta_mlp': 1}
60             CHECK_COPY(src_pos);                                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 34, 'vulberta_mlp': 4}
62             for (i = 0; i < count; i++)                                                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 7, 'vulberta_mlp': 48}
64                 dest[dest_index + i] = dest[src_pos + i];                                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 10, 'vulberta_mlp': 44}
66             dest_index += count;                                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 4, 'vulberta_mlp': 59}
70         } else if (opcode == 0xFE) {                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 35, 'vulberta_mlp': 35}
74             count = bytestream2_get_le16(&s->gb);                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 25, 'vulberta_mlp': 9}
76             color = bytestream2_get_byte(&s->gb);                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 44, 'vulberta_mlp': 29}
78             av_dlog(s->avctx, "(2) set %X bytes to %02X\n", count, color);                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 13}
80             CHECK_COUNT();                                                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 16, 'vulberta_mlp': 0}
82             memset(&dest[dest_index], color, count);                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 36, 'vulberta_mlp': 15}
84             dest_index += count;                                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 3, 'vulberta_mlp': 58}
88         } else if ((opcode & 0xC0) == 0xC0) {                                                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 29, 'vulberta_mlp': 34}
92             count = (opcode & 0x3F) + 3;                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 27, 'vulberta_mlp': 7}
94             src_pos = bytestream2_get_le16(&s->gb);                                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 22, 'vulberta_mlp': 31}
96             av_dlog(s->avctx, "(3) copy %X bytes from absolute pos %X\n", count, src_pos);                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 6}
98             CHECK_COUNT();                                                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 15, 'vulberta_mlp': 3}
100             CHECK_COPY(src_pos);                                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 33, 'vulberta_mlp': 41}
102             for (i = 0; i < count; i++)                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 6, 'vulberta_mlp': 47}
104                 dest[dest_index + i] = dest[src_pos + i];                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 9, 'vulberta_mlp': 43}
106             dest_index += count;                                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 2, 'vulberta_mlp': 33}
110         } else if (opcode > 0x80) {                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 24, 'vulberta_mlp': 30}
114             count = opcode & 0x3F;                                                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 46, 'vulberta_mlp': 14}
116             av_dlog(s->avctx, "(4) copy %X bytes from source to dest\n", count);                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 23}
118             CHECK_COUNT();                                                                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 14, 'vulberta_mlp': 57}
120             bytestream2_get_buffer(&s->gb, &dest[dest_index], count);                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 32, 'vulberta_mlp': 22}
122             dest_index += count;                                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 1, 'vulberta_mlp': 19}
126         } else {                                                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 56}
130             count = ((opcode & 0x70) >> 4) + 3;                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 45, 'vulberta_mlp': 18}
132             src_pos = bytestream2_get_byte(&s->gb) | ((opcode & 0x0F) << 8);                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 21, 'vulberta_mlp': 28}
134             av_dlog(s->avctx, "(5) copy %X bytes from relpos %X\n", count, src_pos);                                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 8}
136             CHECK_COUNT();                                                                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 13, 'vulberta_mlp': 55}
138             CHECK_COPY(dest_index - src_pos);                                                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 20, 'vulberta_mlp': 54}
140             for (i = 0; i < count; i++)                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 5, 'vulberta_mlp': 46}
142                 dest[dest_index + i] = dest[dest_index - src_pos + i];                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 8, 'vulberta_mlp': 38}
144             dest_index += count;                                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 0, 'vulberta_mlp': 17}
146         }                                                                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 53}
148     }                                                                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 52}
152     /* validate that the entire destination buffer was filled; this is                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': -1}
154      * important for decoding frame maps since each vector needs to have a                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': -1}
156      * codebook entry; it is not important for compressed codebooks because                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': -1}
158      * not every entry needs to be filled */                                                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': -1}
160     if (check_size)                                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 42, 'vulberta_mlp': 32}
162         if (dest_index < dest_size)                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 38, 'vulberta_mlp': 42}
164             av_log(s->avctx, AV_LOG_ERROR, "decode_format80 problem: decode finished with dest_index (%d) < dest_size (%d)\n",             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 37, 'vulberta_mlp': 45}
166                 dest_index, dest_size);                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 40}
170     return 0; // let's display what we decoded anyway                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 43, 'vulberta_mlp': 51}
172 }                                                                                                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_mlp': 50}
-----------------------
Highlighted lines: 
24         av_dlog(s->avctx, "opcode %02X: ", opcode);
--------------------------------------------------------------------------------------------------------------
Example ids:  12245 project:  qemu commit id:  f4bf56fb78ed0e9f60fa1ed656c14ff4c494da5a Number of lines:  49 tground truth:  1
Original lines: 
Predicted Correctly by :  ['linevul', 'PLBART', 'devign', 'vulberta_cnn', 'vulberta_mlp']
0 static int vhost_user_set_mem_table(struct vhost_dev *dev,                                           {'linevul': 11, 'PLBART': 0, 'devign': 25, 'vulberta_cnn': 45, 'vulberta_mlp': 10}
2                                     struct vhost_memory *mem)                                        {'linevul': 1, 'PLBART': 9, 'devign': 31, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
4 {                                                                                                    {'linevul': 21, 'PLBART': 12, 'devign': 115, 'vulberta_cnn': 24, 'vulberta_mlp': 48}
6     int fds[VHOST_MEMORY_MAX_NREGIONS];                                                              {'linevul': 10, 'PLBART': 4, 'devign': 34, 'vulberta_cnn': 40, 'vulberta_mlp': 27}
8     int i, fd;                                                                                       {'linevul': 18, 'PLBART': 10, 'devign': 30, 'vulberta_cnn': 7, 'vulberta_mlp': 46}
10     size_t fd_num = 0;                                                                              {'linevul': 14, 'PLBART': 7, 'devign': 15, 'vulberta_cnn': 47, 'vulberta_mlp': 47}
12     bool reply_supported = virtio_has_feature(dev->protocol_features,                               {'linevul': 9, 'PLBART': 2, 'devign': 12, 'vulberta_cnn': 3, 'vulberta_mlp': 25}
14                                               VHOST_USER_PROTOCOL_F_REPLY_ACK);                     {'linevul': 0, 'PLBART': 3, 'devign': 37, 'vulberta_cnn': 42, 'vulberta_mlp': 20}
18     VhostUserMsg msg = {                                                                            {'linevul': 16, 'PLBART': 6, 'devign': 24, 'vulberta_cnn': 19, 'vulberta_mlp': 41}
20         .hdr.request = VHOST_USER_SET_MEM_TABLE,                                                    {'linevul': 6, 'PLBART': 1, 'devign': 3, 'vulberta_cnn': 25, 'vulberta_mlp': 37}
22         .hdr.flags = VHOST_USER_VERSION,                                                            {'linevul': 12, 'PLBART': 5, 'devign': 4, 'vulberta_cnn': 43, 'vulberta_mlp': 45}
24     };                                                                                              {'linevul': 19, 'PLBART': 13, 'devign': 103, 'vulberta_cnn': 36, 'vulberta_mlp': 34}
28     if (reply_supported) {                                                                          {'linevul': 17, 'PLBART': 8, 'devign': 23, 'vulberta_cnn': 39, 'vulberta_mlp': 13}
30         msg.hdr.flags |= VHOST_USER_NEED_REPLY_MASK;                                                {'linevul': 4, 'PLBART': 11, 'devign': 5, 'vulberta_cnn': 13, 'vulberta_mlp': 36}
32     }                                                                                               {'linevul': 20, 'PLBART': -1, 'devign': 97, 'vulberta_cnn': 23, 'vulberta_mlp': 19}
36     for (i = 0; i < dev->mem->nregions; ++i) {                                                      {'linevul': 8, 'PLBART': -1, 'devign': 7, 'vulberta_cnn': 41, 'vulberta_mlp': 35}
38         struct vhost_memory_region *reg = dev->mem->regions + i;                                    {'linevul': 7, 'PLBART': -1, 'devign': 20, 'vulberta_cnn': 34, 'vulberta_mlp': 26}
40         ram_addr_t offset;                                                                          {'linevul': 13, 'PLBART': -1, 'devign': 35, 'vulberta_cnn': 30, 'vulberta_mlp': 42}
42         MemoryRegion *mr;                                                                           {'linevul': 15, 'PLBART': -1, 'devign': 38, 'vulberta_cnn': 22, 'vulberta_mlp': 18}
46         assert((uintptr_t)reg->userspace_addr == reg->userspace_addr);                              {'linevul': 5, 'PLBART': -1, 'devign': 17, 'vulberta_cnn': 6, 'vulberta_mlp': 31}
48         mr = memory_region_from_host((void *)(uintptr_t)reg->userspace_addr,                        {'linevul': 3, 'PLBART': -1, 'devign': 14, 'vulberta_cnn': 18, 'vulberta_mlp': 17}
50                                      &offset);                                                      {'linevul': 2, 'PLBART': -1, 'devign': 36, 'vulberta_cnn': 37, 'vulberta_mlp': 33}
52         fd = memory_region_get_fd(mr);                                                              {'linevul': -1, 'PLBART': -1, 'devign': 16, 'vulberta_cnn': 4, 'vulberta_mlp': 3}
54         if (fd > 0) {                                                                               {'linevul': -1, 'PLBART': -1, 'devign': 26, 'vulberta_cnn': 28, 'vulberta_mlp': 30}
56             msg.payload.memory.regions[fd_num].userspace_addr = reg->userspace_addr;                {'linevul': -1, 'PLBART': -1, 'devign': 9, 'vulberta_cnn': 11, 'vulberta_mlp': 43}
58             msg.payload.memory.regions[fd_num].memory_size  = reg->memory_size;                     {'linevul': -1, 'PLBART': -1, 'devign': 10, 'vulberta_cnn': 1, 'vulberta_mlp': 28}
60             msg.payload.memory.regions[fd_num].guest_phys_addr = reg->guest_phys_addr;              {'linevul': -1, 'PLBART': -1, 'devign': 8, 'vulberta_cnn': 48, 'vulberta_mlp': 24}
62             msg.payload.memory.regions[fd_num].mmap_offset = offset;                                {'linevul': -1, 'PLBART': -1, 'devign': 6, 'vulberta_cnn': 33, 'vulberta_mlp': 8}
64             assert(fd_num < VHOST_MEMORY_MAX_NREGIONS);                                             {'linevul': -1, 'PLBART': -1, 'devign': 29, 'vulberta_cnn': 31, 'vulberta_mlp': 29}
66             fds[fd_num++] = fd;                                                                     {'linevul': -1, 'PLBART': -1, 'devign': 18, 'vulberta_cnn': 9, 'vulberta_mlp': 44}
68         }                                                                                           {'linevul': -1, 'PLBART': -1, 'devign': 76, 'vulberta_cnn': 12, 'vulberta_mlp': 16}
70     }                                                                                               {'linevul': -1, 'PLBART': -1, 'devign': 74, 'vulberta_cnn': 21, 'vulberta_mlp': 15}
74     msg.payload.memory.nregions = fd_num;                                                           {'linevul': -1, 'PLBART': -1, 'devign': 11, 'vulberta_cnn': 26, 'vulberta_mlp': 39}
78     if (!fd_num) {                                                                                  {'linevul': -1, 'PLBART': -1, 'devign': 21, 'vulberta_cnn': 8, 'vulberta_mlp': 40}
80         error_report("Failed initializing vhost-user memory map, "                                  {'linevul': -1, 'PLBART': -1, 'devign': 28, 'vulberta_cnn': 38, 'vulberta_mlp': 12}
82                      "consider using -object memory-backend-file share=on");                        {'linevul': -1, 'PLBART': -1, 'devign': 27, 'vulberta_cnn': 44, 'vulberta_mlp': 21}
84         return -1;                                                                                  {'linevul': -1, 'PLBART': -1, 'devign': 33, 'vulberta_cnn': 15, 'vulberta_mlp': 32}
86     }                                                                                               {'linevul': -1, 'PLBART': -1, 'devign': 63, 'vulberta_cnn': 17, 'vulberta_mlp': 14}
90     msg.hdr.size = sizeof(msg.payload.memory.nregions);                                             {'linevul': -1, 'PLBART': -1, 'devign': 1, 'vulberta_cnn': 0, 'vulberta_mlp': 22}
92     msg.hdr.size += sizeof(msg.payload.memory.padding);                                             {'linevul': -1, 'PLBART': -1, 'devign': 0, 'vulberta_cnn': 10, 'vulberta_mlp': 23}
94     msg.hdr.size += fd_num * sizeof(VhostUserMemoryRegion);                                         {'linevul': -1, 'PLBART': -1, 'devign': 2, 'vulberta_cnn': 2, 'vulberta_mlp': 11}
98     if (vhost_user_write(dev, &msg, fds, fd_num) < 0) {                                             {'linevul': -1, 'PLBART': -1, 'devign': 13, 'vulberta_cnn': 5, 'vulberta_mlp': 4}
100         return -1;                                                                                 {'linevul': -1, 'PLBART': -1, 'devign': 32, 'vulberta_cnn': 32, 'vulberta_mlp': 0}
102     }                                                                                              {'linevul': -1, 'PLBART': -1, 'devign': 52, 'vulberta_cnn': 16, 'vulberta_mlp': 2}
106     if (reply_supported) {                                                                         {'linevul': -1, 'PLBART': -1, 'devign': 22, 'vulberta_cnn': 35, 'vulberta_mlp': 6}
108         return process_message_reply(dev, &msg);                                                   {'linevul': -1, 'PLBART': -1, 'devign': 19, 'vulberta_cnn': 14, 'vulberta_mlp': 5}
110     }                                                                                              {'linevul': -1, 'PLBART': -1, 'devign': 46, 'vulberta_cnn': 27, 'vulberta_mlp': 7}
114     return 0;                                                                                      {'linevul': -1, 'PLBART': -1, 'devign': 39, 'vulberta_cnn': 20, 'vulberta_mlp': 38}
116 }                                                                                                  {'linevul': -1, 'PLBART': -1, 'devign': 41, 'vulberta_cnn': 46, 'vulberta_mlp': 1}
-----------------------
Highlighted lines: 
2                                     struct vhost_memory *mem)
12     bool reply_supported = virtio_has_feature(dev->protocol_features,
20         .hdr.request = VHOST_USER_SET_MEM_TABLE,
--------------------------------------------------------------------------------------------------------------
Example ids:  12799 project:  qemu commit id:  de82815db1c89da058b7fb941dab137d6d9ab738 Number of lines:  51 tground truth:  1
Original lines: 
Predicted Correctly by :  ['codebert', 'PLBART', 'devign', 'vulberta_cnn', 'vulberta_mlp']
0 int qcow2_expand_zero_clusters(BlockDriverState *bs)                                          {'codebert': 7, 'PLBART': 4, 'devign': 14, 'vulberta_cnn': 43, 'vulberta_mlp': 25}
2 {                                                                                             {'codebert': 12, 'PLBART': 11, 'devign': -1, 'vulberta_cnn': 23, 'vulberta_mlp': 12}
4     BDRVQcowState *s = bs->opaque;                                                            {'codebert': 4, 'PLBART': 3, 'devign': 11, 'vulberta_cnn': 34, 'vulberta_mlp': 17}
6     uint64_t *l1_table = NULL;                                                                {'codebert': 10, 'PLBART': 5, 'devign': 18, 'vulberta_cnn': 35, 'vulberta_mlp': 27}
